Date, Prices, Generation forecast, System load forecast,
2011/1/9 0:00,32.54,63065,63000,43.898
2011/1/9 1:00,21.55,62715,58800,42.8
2011/1/9 2:00,15.71,61952,58500,42.08
2011/1/9 3:00,10.58,59262,54300,41.432
2011/1/9 4:00,10.32,56883,51900,40.514
2011/1/9 5:00,10.33,56332,50900,39.524
2011/1/9 6:00,9.22,55096,50100,39.362
2011/1/9 7:00,10,55507,51000,39.362
2011/1/9 8:00,10.19,58763,53200,39.146
2011/1/9 9:00,30,60500,54800,39.164
2011/1/9 10:00,46.02,63192,57800,40.784
2011/1/9 11:00,50.83,64278,59900,42.098
2011/1/9 12:00,53.02,65547,61900,42.926
2011/1/9 13:00,46.62,64460,64700,43.394
2011/1/9 14:00,43.44,63373,59800,43.304
2011/1/9 15:00,36.36,63280,58300,42.926
2011/1/9 16:00,39.22,62791,56900,41.396
2011/1/9 17:00,56.28,64533,58800,39.002
2011/1/9 18:00,63.02,69141,64300,36.752
2011/1/9 19:00,62.38,69446,67200,35.708
2011/1/9 20:00,57.47,67761,68100,34.862
2011/1/9 21:00,49.37,66266,65400,35.222
2011/1/9 22:00,52.01,65710,62300,34.628
2011/1/9 23:00,47,65757,65400,33.512
2011/1/10 0:00,30,65565,64100,32.576
2011/1/10 1:00,25.09,64758,60300,32.126
2011/1/10 2:00,20.57,64689,61000,31.532
2011/1/10 3:00,15.04,64190,58100,31.514
2011/1/10 4:00,15.7,64147,56200,31.1
2011/1/10 5:00,25.63,64693,57200,30.326
2011/1/10 6:00,51.64,67325,60500,31.1
2011/1/10 7:00,63.3,73016,68300,32.756
2011/1/10 8:00,62.99,76086,73700,32.486
2011/1/10 9:00,61.2,74958,74300,33.278
2011/1/10 10:00,62.67,74666,75000,35.672
2011/1/10 11:00,62.98,73932,75400,38.03
2011/1/10 12:00,62.88,73921,76500,39.722
2011/1/10 13:00,61.41,73069,77600,40.622
2011/1/10 14:00,60.5,72046,74800,38.822
2011/1/10 15:00,57.52,72087,73400,38.246
2011/1/10 16:00,59.92,72232,72200,37.742
2011/1/10 17:00,67.1,75967,73400,36.338
2011/1/10 18:00,69.93,78980,79300,35.834
2011/1/10 19:00,63.18,76756,82400,35.528
2011/1/10 20:00,54.72,73823,79800,34.952
2011/1/10 21:00,43.94,69858,74900,35.312
2011/1/10 22:00,43.37,69661,70300,36.05
2011/1/10 23:00,32.32,68814,73400,36.176
2011/1/11 0:00,47.31,67939,69600,35.978
2011/1/11 1:00,45.01,66564,65600,34.934
2011/1/11 2:00,41.91,66398,66100,34.322
2011/1/11 3:00,34.15,66064,63200,34.718
2011/1/11 4:00,35.01,66035,60700,35.654
2011/1/11 5:00,44.92,66599,61000,36.266
2011/1/11 6:00,49.81,68119,64400,37.418
2011/1/11 7:00,63.08,72495,71300,37.742
2011/1/11 8:00,64.85,74873,76600,37.472
2011/1/11 9:00,63.04,74473,76200,37.616
2011/1/11 10:00,62.68,73965,75900,38.606
2011/1/11 11:00,63.7,74444,75000,39.632
2011/1/11 12:00,65.03,74554,75700,40.568
2011/1/11 13:00,65.04,74409,76500,41.81
2011/1/11 14:00,62.95,73949,74300,42.422
2011/1/11 15:00,60,72926,72600,43.232
2011/1/11 16:00,62.94,74924,71500,43.88
2011/1/11 17:00,69.04,77678,72300,43.88
2011/1/11 18:00,71.61,77710,76700,42.35
2011/1/11 19:00,67.99,77496,79400,41.54
2011/1/11 20:00,63.67,74617,76300,41.126
2011/1/11 21:00,53.28,70768,71000,41.054
2011/1/11 22:00,56.18,69797,67100,40.766
2011/1/11 23:00,49.33,67142,69700,40.514
2011/1/12 0:00,37.93,66461,68400,40.37
2011/1/12 1:00,34.02,66270,64400,40.262
2011/1/12 2:00,24.29,65437,64900,40.136
2011/1/12 3:00,16.51,64689,62000,39.866
2011/1/12 4:00,14.06,65562,59900,39.668
2011/1/12 5:00,32.55,66296,60200,39.776
2011/1/12 6:00,43.69,67702,64100,39.812
2011/1/12 7:00,57.65,72055,69900,39.74
2011/1/12 8:00,60,75300,75800,39.992
2011/1/12 9:00,60.38,75139,76700,40.01
2011/1/12 10:00,61.43,74585,76700,40.442
2011/1/12 11:00,63.05,75036,76400,40.892
2011/1/12 12:00,60.43,73782,77000,41.81
2011/1/12 13:00,59.85,73125,77200,43.088
2011/1/12 14:00,60,72438,75100,44.042
2011/1/12 15:00,57.91,71351,73000,44.834
2011/1/12 16:00,59.42,72075,71500,46.076
2011/1/12 17:00,66.17,74347,71600,47.372
2011/1/12 18:00,66.75,75294,75600,48.668
2011/1/12 19:00,59.94,74400,78600,49.496
2011/1/12 20:00,52.1,71423,74900,50.126
2011/1/12 21:00,46.83,68668,69400,50.486
2011/1/12 22:00,48.56,67800,65400,51.098
2011/1/12 23:00,43.89,67195,68400,51.476
2011/1/13 0:00,31.04,65404,66900,51.422
2011/1/13 1:00,24.93,64519,61700,51.188
2011/1/13 2:00,16.66,64094,61800,51.17
2011/1/13 3:00,10.46,62278,59200,51.242
2011/1/13 4:00,10.28,61688,56700,51.566
2011/1/13 5:00,14.4,63172,57000,51.746
2011/1/13 6:00,46.08,65448,60600,51.998
2011/1/13 7:00,62.11,71039,67800,52.466
2011/1/13 8:00,62.42,72894,73500,52.682
2011/1/13 9:00,58.69,72491,72800,52.826
2011/1/13 10:00,56.96,72376,72200,52.97
2011/1/13 11:00,59.22,72707,72200,53.096
2011/1/13 12:00,56.19,72084,72700,53.474
2011/1/13 13:00,53.28,71645,72300,53.474
2011/1/13 14:00,50.54,70643,70700,53.204
2011/1/13 15:00,47.03,69132,68300,53.15
2011/1/13 16:00,40.01,68354,66800,53.15
2011/1/13 17:00,54.57,70896,66800,53.024
2011/1/13 18:00,64.95,73178,72400,52.844
2011/1/13 19:00,57.92,73313,75300,52.7
2011/1/13 20:00,54.45,70557,71700,52.952
2011/1/13 21:00,48.6,66276,66800,53.078
2011/1/13 22:00,49.44,65292,63200,53.15
2011/1/13 23:00,43.81,65122,66300,53.15
2011/1/14 0:00,25.21,64192,63700,52.97
2011/1/14 1:00,18.03,63133,59300,53.096
2011/1/14 2:00,14.08,63047,59800,53.312
