Date, Zonal COMED price, System load forecast, Zonal COMED load foecast,temperature
2013/1/1 0:00,25.464211,85049,11509,36.4604
2013/1/1 1:00,23.554578,82128,10942,36.1004
2013/1/1 2:00,22.122277,80729,10639,37.3604
2013/1/1 3:00,21.592066,80248,10476,36.9104
2013/1/1 4:00,21.546501,80850,10445,36.3704
2013/1/1 5:00,21.962992,82642,10515,35.7404
2013/1/1 6:00,23.986774,85575,10745,35.470398
2013/1/1 7:00,24.609571,88892,11148,35.1104
2013/1/1 8:00,26.730549,91735,11303,34.9304
2013/1/1 9:00,26.677503,93590,11533,36.1004
2013/1/1 10:00,28.124666,94099,11663,37.720398
2013/1/1 11:00,28.460413,93758,11703,38.1704
2013/1/1 12:00,27.868985,93167,11658,38.8904
2013/1/1 13:00,27.228647,92463,11592,38.8904
2013/1/1 14:00,27.198835,91733,11532,39.5204
2013/1/1 15:00,27.162212,92229,11521,39.3404
2013/1/1 16:00,28.44099,95575,11671,38.7104
2013/1/1 17:00,32.919225,102999,12533,37.6304
2013/1/1 18:00,35.47654,106324,13474,36.8204
2013/1/1 19:00,32.70079,106186,13723,35.9204
2013/1/1 20:00,31.574243,105285,13681,34.9304
2013/1/1 21:00,30.184456,102486,13487,33.5804
2013/1/1 22:00,28.898003,97998,13132,32.0504
2013/1/1 23:00,27.727931,92715,12462,30.6104
2013/1/2 0:00,26.698947,90904,11664,29.4404
2013/1/2 1:00,26.025287,88707,11134,28.5404
2013/1/2 2:00,25.69928,87913,10825,28.6304
2013/1/2 3:00,25.55645,88260,10692,27.6404
2013/1/2 4:00,25.542177,90315,10701,26.8304
2013/1/2 5:00,26.900783,95731,10955,26.020401
2013/1/2 6:00,31.25431,104247,11626,25.4804
2013/1/2 7:00,39.243666,109482,12603,25.0304
2013/1/2 8:00,39.269649,109726,13076,25.0304
2013/1/2 9:00,38.174664,108557,13147,26.2904
2013/1/2 10:00,38.020335,107367,13150,28.1804
2013/1/2 11:00,34.263937,105715,13127,29.6204
2013/1/2 12:00,31.32592,103992,13038,30.7004
2013/1/2 13:00,30.893552,102758,12887,31.4204
2013/1/2 14:00,30.627191,101611,12813,33.0404
2013/1/2 15:00,30.902632,101396,12667,32.7704
2013/1/2 16:00,32.363577,104506,12705,31.5104
2013/1/2 17:00,46.955724,112423,13454,29.8004
2013/1/2 18:00,52.555534,116333,14179,28.4504
2013/1/2 19:00,41.374289,116038,14101,27.0104
2013/1/2 20:00,40.806692,114877,13936,25.8404
2013/1/2 21:00,34.686867,111597,13687,25.1204
2013/1/2 22:00,31.982496,105907,13151,24.2204
2013/1/2 23:00,28.500463,99581,12255,23.860401
2013/1/3 0:00,26.001234,94180,11371,23.3204
2013/1/3 1:00,24.875769,91996,10815,22.7804
2013/1/3 2:00,24.336918,91258,10519,23.860401
2013/1/3 3:00,24.389793,91693,10375,25.2104
2013/1/3 4:00,24.583507,93899,10398,25.0304
2013/1/3 5:00,25.718807,99361,10650,24.5804
2013/1/3 6:00,30.89055,107720,11295,24.6704
2013/1/3 7:00,37.146193,112520,12352,24.4904
2013/1/3 8:00,34.056527,111899,12870,24.0404
2013/1/3 9:00,33.869153,109827,12985,25.1204
2013/1/3 10:00,32.328064,107821,13044,28.8104
2013/1/3 11:00,31.120099,105505,13090,30.7004
2013/1/3 12:00,28.745493,103282,13048,32.0504
2013/1/3 13:00,28.488523,101703,12988,33.0404
2013/1/3 14:00,28.185189,100228,12973,33.4004
2013/1/3 15:00,28.234109,99931,12917,33.7604
2013/1/3 16:00,28.866924,102722,12928,32.8604
2013/1/3 17:00,34.312004,110365,13552,30.6104
2013/1/3 18:00,34.901154,114042,14271,28.9904
2013/1/3 19:00,35.068264,113853,14254,28.0904
2013/1/3 20:00,33.541153,112704,14020,27.6404
2013/1/3 21:00,30.513043,109494,13723,27.3704
2013/1/3 22:00,28.78351,103777,13221,27.2804
2013/1/3 23:00,27.425999,97597,12403,27.5504
2013/1/4 0:00,24.948989,94046,11656,28.0904
2013/1/4 1:00,23.28389,91776,11086,28.360401
2013/1/4 2:00,22.823623,90989,10782,29.5304
2013/1/4 3:00,22.492204,91238,10627,29.4404
2013/1/4 4:00,23.148631,93163,10640,29.1704
2013/1/4 5:00,23.954595,98293,10893,28.8104
2013/1/4 6:00,29.208177,106389,11537,28.5404
2013/1/4 7:00,32.667029,111294,12535,28.2704
2013/1/4 8:00,33.150181,111091,12940,28.4504
2013/1/4 9:00,31.099946,109381,12965,30.3404
2013/1/4 10:00,30.185545,107600,12911,32.7704
2013/1/4 11:00,28.725963,105286,12857,34.1204
2013/1/4 12:00,27.898958,102986,12717,35.2004
2013/1/4 13:00,27.53963,101226,12544,35.6504
2013/1/4 14:00,27.421755,99588,12463,37.2704
2013/1/4 15:00,27.119871,98888,12321,37.1804
2013/1/4 16:00,27.974417,101019,12292,36.6404
2013/1/4 17:00,32.669141,107431,12893,35.0204
2013/1/4 18:00,34.089664,110434,13523,33.8504
2013/1/4 19:00,31.907462,109749,13578,33.0404
2013/1/4 20:00,30.490898,108627,13356,32.3204
2013/1/4 21:00,29.503952,106149,13093,31.7804
2013/1/4 22:00,28.100554,101718,12694,31.6004
2013/1/4 23:00,26.360153,96382,11981,31.4204
2013/1/5 0:00,25.889003,89957,11200,31.2404
2013/1/5 1:00,23.953225,87235,10605,31.1504
2013/1/5 2:00,23.011797,85909,10237,32.0504
2013/1/5 3:00,22.312382,85676,10028,31.6004
2013/1/5 4:00,22.260985,86375,9949,31.1504
2013/1/5 5:00,23.452086,88463,10021,30.6104
2013/1/5 6:00,24.854757,91459,10297,30.2504
2013/1/5 7:00,26.612791,94846,10704,29.8904
2013/1/5 8:00,27.797249,97396,10932,29.8004
2013/1/5 9:00,28.068818,98158,11145,31.6904
2013/1/5 10:00,27.750797,97338,11306,33.7604
2013/1/5 11:00,27.404819,95426,11328,35.8304
2013/1/5 12:00,26.667855,93001,11248,37.3604
2013/1/5 13:00,25.332688,90761,11071,38.4404
2013/1/5 14:00,24.222117,88864,10878,40.6004
2013/1/5 15:00,23.993779,88397,10756,40.6004
2013/1/5 16:00,25.219794,90771,10796,39.4304
2013/1/5 17:00,31.713983,97619,11393,36.8204
2013/1/5 18:00,31.208902,100917,12039,33.4004
2013/1/5 19:00,30.03162,100887,12167,30.6104
2013/1/5 20:00,28.564763,100274,12071,28.9004
2013/1/5 21:00,26.565448,98310,11932,28.6304
2013/1/5 22:00,25.63827,94813,11616,31.6904
2013/1/5 23:00,24.457542,90229,11066,28.9904
2013/1/6 0:00,23.02499,84534,10356,29.1704
2013/1/6 1:00,20.557356,81846,9844,30.1604
2013/1/6 2:00,20.114613,80519,9539,32.0504
2013/1/6 3:00,19.623413,80068,9376,32.9504
2013/1/6 4:00,19.368297,80424,9316,33.2204
2013/1/6 5:00,19.920387,81852,9371,33.1304
2013/1/6 6:00,20.757097,84026,9525,32.6804
2013/1/6 7:00,24.217119,86699,9747,31.5104
2013/1/6 8:00,24.991196,89219,9842,30.520401
2013/1/6 9:00,26.219298,90492,10064,33.6704
2013/1/6 10:00,26.885907,90266,10292,38.2604
2013/1/6 11:00,26.794661,89438,10411,41.2304
2013/1/6 12:00,26.117437,88523,10464,44.1104
2013/1/6 13:00,25.28976,87416,10440,45.4604
2013/1/6 14:00,24.650901,86528,10401,46.9004
2013/1/6 15:00,24.853993,86779,10412,46.8104
2013/1/6 16:00,26.558414,89907,10555,45.5504
2013/1/6 17:00,32.412693,97193,11299,42.1304
2013/1/6 18:00,32.721203,100453,12113,39.3404
2013/1/6 19:00,31.70567,100335,12290,37.2704
2013/1/6 20:00,30.939479,99728,12295,36.0104
2013/1/6 21:00,29.359993,97060,12157,34.6604
2013/1/6 22:00,27.440793,92787,11825,33.6704
2013/1/6 23:00,25.35217,87792,11214,33.1304
2013/1/7 0:00,23.345332,83315,10529,32.3204
2013/1/7 1:00,22.088921,81519,10145,31.9604
2013/1/7 2:00,20.676054,80873,9915,33.9404
2013/1/7 3:00,20.623545,81488,9864,34.1204
2013/1/7 4:00,20.814485,83701,9938,34.2104
2013/1/7 5:00,22.594881,89165,10253,34.0304
2013/1/7 6:00,27.932175,97728,11024,33.6704
2013/1/7 7:00,32.339606,103244,12114,33.1304
2013/1/7 8:00,30.886331,103801,12598,32.5904
2013/1/7 9:00,30.394603,103137,12685,35.8304
2013/1/7 10:00,29.470438,102259,12701,39.7004
2013/1/7 11:00,28.750481,100857,12698,41.5004
2013/1/7 12:00,27.842334,99362,12627,42.7604
2013/1/7 13:00,27.509109,98264,12522,43.8404
2013/1/7 14:00,26.846952,97115,12452,45.9104
2013/1/7 15:00,26.924802,96930,12345,45.5504
2013/1/7 16:00,27.721054,99688,12315,44.470398
2013/1/7 17:00,33.302139,107264,12881,42.1304
2013/1/7 18:00,34.104076,110197,13543,38.5304
2013/1/7 19:00,32.413719,109897,13602,35.560402
2013/1/7 20:00,31.737496,108604,13449,33.5804
2013/1/7 21:00,29.272288,105190,13188,31.7804
2013/1/7 22:00,27.326565,99471,12645,30.6104
2013/1/7 23:00,24.548307,93332,11783,30.2504
2013/1/8 0:00,22.388038,87613,10980,30.1604
2013/1/8 1:00,21.418307,85487,10426,29.8004
2013/1/8 2:00,21.425206,84682,10102,29.1704
2013/1/8 3:00,21.294845,85070,9946,28.7204
2013/1/8 4:00,21.429757,87300,9951,29.0804
2013/1/8 5:00,24.20471,92881,10213,29.0804
2013/1/8 6:00,31.273193,101541,10909,29.350399
2013/1/8 7:00,33.494456,106181,11975,29.8004
2013/1/8 8:00,31.940752,105018,12459,31.0604
2013/1/8 9:00,30.278083,102538,12513,35.1104
2013/1/8 10:00,29.200295,100269,12497,39.1604
2013/1/8 11:00,28.121127,97982,12510,42.220398
2013/1/8 12:00,27.506043,95670,12426,44.3804
2013/1/8 13:00,27.142001,94220,12336,45.6404
2013/1/8 14:00,26.584591,92874,12301,46.990402
2013/1/8 15:00,26.468584,92440,12214,47.0804
2013/1/8 16:00,27.188882,95146,12257,45.7304
2013/1/8 17:00,32.011015,102849,12840,42.220398
2013/1/8 18:00,33.171437,105566,13436,39.3404
2013/1/8 19:00,31.522447,105291,13441,37.0904
2013/1/8 20:00,30.478104,104134,13256,34.9304
2013/1/8 21:00,27.908258,100833,13005,33.6704
2013/1/8 22:00,25.229911,95143,12462,32.9504
2013/1/8 23:00,22.975058,88946,11607,32.5004
2013/1/9 0:00,21.624073,83463,10591,31.9604
2013/1/9 1:00,20.881304,81085,10021,33.2204
2013/1/9 2:00,20.352183,80010,9698,34.9304
2013/1/9 3:00,19.778199,80175,9526,35.560402
2013/1/9 4:00,19.932648,82087,9517,35.7404
2013/1/9 5:00,21.996596,87434,9758,34.0304
2013/1/9 6:00,26.770376,96196,10449,31.7804
2013/1/9 7:00,30.965283,101143,11515,32.0504
2013/1/9 8:00,30.216822,100473,12037,31.9604
2013/1/9 9:00,29.569358,98691,12107,35.0204
2013/1/9 10:00,28.96459,97169,12141,40.9604
2013/1/9 11:00,28.024658,95435,12173,44.470398
2013/1/9 12:00,27.287903,93681,12138,47.5304
2013/1/9 13:00,26.687027,92499,12094,49.8704
2013/1/9 14:00,26.27358,91427,12086,50.3204
2013/1/9 15:00,26.188837,91072,12044,49.0604
2013/1/9 16:00,26.765194,93519,12110,48.1604
2013/1/9 17:00,33.429351,100156,12746,47.0804
2013/1/9 18:00,33.858155,102363,13327,46.5404
2013/1/9 19:00,32.068716,101558,13223,46.6304
2013/1/9 20:00,31.043348,100097,13012,46.4504
2013/1/9 21:00,29.003765,96687,12728,45.7304
2013/1/9 22:00,27.00355,91005,12203,44.470398
2013/1/9 23:00,23.900142,84683,11352,43.5704
2013/1/10 0:00,21.992903,80366,10571,42.9404
